Case,Cycle,temp_mold_init,temp_mold_final_sim,temp_mold_final_real,Error_mold,temp_gob_init,temp_gob_final_sim,temp_gob_final_real,Error_gob
52,9,402.7617485,402.616327457565,402.6118697,0.00445775756537614,1200,1065.04447581717,1070.482486,-5.43801018282852
52,10,402.6118697,402.46821943539,402.4631447,0.00507473538988279,1200,1064.90960367149,1070.518492,-5.60888832851128
52,11,402.4631447,402.321252640439,402.3155338,0.0057188404388171,1200,1064.77564756456,1070.546688,-5.77104043544182
52,12,402.3155338,402.175387820068,402.1690374,0.00635042006803133,1200,1064.6425742752,1070.568365,-5.92579072480339
52,13,402.1690374,402.030625348008,402.0236221,0.00700324800772023,1200,1064.51038665023,1070.584413,-6.07402634976529
52,14,402.0236221,401.886932198413,401.8792489,0.00768329841264404,1200,1064.37905699554,1070.595732,-6.21667500445938
52,15,401.8792489,401.744269812772,401.7359317,0.00833811277237828,1200,1064.24855244216,1070.6028,-6.35424755784402
52,16,401.7359317,401.602651906272,401.5936138,0.00903810627158919,1200,1064.1188878751,1070.606359,-6.48747112489946
52,17,401.5936138,401.462022431566,401.4522936,0.00972883156600801,1200,1063.99001426177,1070.606945,-6.61693073823449
52,18,401.4522936,401.322379788635,401.3119362,0.0104435886345868,1200,1063.86193234676,1070.604754,-6.74282165324303
53,1,404.0019302,403.888224813468,403.9375429,-0.0493180865316845,1200,1070.42217974132,1069.49309,0.92908974132456
53,2,403.9375429,403.824594867987,403.8717632,-0.0471683320125749,1200,1070.36279427549,1069.78778,0.575014275486865
53,3,403.8717632,403.759589074532,403.8059156,-0.0463265254682028,1200,1070.30210450902,1069.976598,0.325506509023626
53,4,403.8059156,403.694516355753,403.7403292,-0.0458128442468251,1200,1070.24133181221,1070.116489,0.124842812213728
53,5,403.7403292,403.629701937843,403.6751211,-0.0454191621567475,1200,1070.18078003943,1070.226471,-0.045690960569118
53,6,403.6751211,403.565261539683,403.6103906,-0.0451290603172083,1200,1070.12055762436,1070.315442,-0.194884375637685
53,7,403.6103906,403.50129328857,403.5461692,-0.0448759114297559,1200,1070.06075669357,1070.388645,-0.327888306434943
53,8,403.5461692,403.437828309459,403.48246,-0.0446316905413937,1200,1070.00140682238,1070.449458,-0.448051177617117
53,9,403.48246,403.374869661629,403.4192881,-0.0444184383712241,1200,1069.94251136076,1070.500185,-0.557673639240193
53,10,403.4192881,403.312442145108,403.3566213,-0.044179154892106,1200,1069.88409400491,1070.542664,-0.658569995087419
53,11,403.3566213,403.250513935122,403.2944378,-0.0439238648776268,1200,1069.82612546288,1070.578178,-0.7520525371242
53,12,403.2944378,403.189063484652,403.2327548,-0.0436913153476439,1200,1069.76858602525,1070.607918,-0.839331974752668
53,13,403.2327548,403.128107787035,403.1715545,-0.0434467129645668,1200,1069.71149205713,1070.632688,-0.921195942871464
53,14,403.1715545,403.067629248294,403.1108108,-0.043181551705743,1200,1069.65482752778,1070.653302,-0.99847447222146
53,15,403.1108108,403.007602072578,403.0505495,-0.0429474274220638,1200,1069.59856869359,1070.670161,-1.07159230641241
53,16,403.0505495,402.948051751931,402.9907252,-0.042673448069479,1200,1069.54273986744,1070.683939,-1.14119913256263
53,17,402.9907252,402.888933418478,402.9313474,-0.0424139815220883,1200,1069.48729939436,1070.69511,-1.20781060564195
53,18,402.9313474,402.830256456758,402.8723887,-0.0421322432420652,1200,1069.4322564652,1070.703816,-1.27155953480064
54,1,404.0019302,404.045164328762,404.049582,-0.00441767123777481,1200,1066.75239413256,1069.493076,-2.74068186744353
54,2,404.049582,404.092276075158,404.0947549,-0.00247882484171669,1200,1066.7960299579,1069.787759,-2.99172904209649
54,3,404.0947549,404.136937113512,404.138874,-0.00193688648795387,1200,1066.83738453592,1069.976668,-3.13928346408306
54,4,404.138874,404.180556384528,404.182356,-0.00179961547161156,1200,1066.87776380324,1070.11714,-3.23937619676326
54,5,404.182356,404.223545862172,404.2253724,-0.0018265378279807,1200,1066.91754973747,1070.22865,-3.31110026253145
54,6,404.2253724,404.266075100523,404.2680634,-0.00198829947720469,1200,1066.95689964471,1070.320375,-3.3634753552908
54,7,404.2680634,404.308282709453,404.3104929,-0.00221019054652061,1200,1066.99594204671,1070.397657,-3.4017149532865
54,8,404.3104929,404.350231863694,404.3526918,-0.00245993630551311,1200,1067.03473558157,1070.463865,-3.42912941843338
54,9,404.3526918,404.391953111987,404.3947064,-0.00275328801308206,1200,1067.07330866701,1070.521227,-3.4479183329945
54,10,404.3947064,404.433492229057,404.4365252,-0.00303297094336585,1200,1067.11170376344,1070.571482,-3.45977823655562
54,11,404.4365252,404.474837843953,404.478145,-0.00330715604735587,1200,1067.14991048782,1070.615798,-3.46588751217541
54,12,404.478145,404.515986791751,404.519599,-0.00361220824925113,1200,1067.18792604724,1070.655253,-3.46732695276091
54,13,404.519599,404.55697189581,404.5608823,-0.00391040419020783,1200,1067.22578088673,1070.690536,-3.4647551132698
54,14,404.5608823,404.597788310599,404.6019836,-0.00419528940147984,1200,1067.26347064194,1070.722378,-3.45890735805961
54,15,404.6019836,404.638424862912,404.642941,-0.00451613708764853,1200,1067.30098511173,1070.751073,-3.45008788827408
54,16,404.642941,404.67891922102,404.6837189,-0.00479967897990718,1200,1067.33835917711,1070.777215,-3.43885582288976
54,17,404.6837189,404.719236186487,404.7243365,-0.00510031351308271,1200,1067.3755604575,1070.801206,-3.42564554250316
54,18,404.7243365,404.759394741332,404.7647771,-0.00538235866832792,1200,1067.41260657868,1070.823119,-3.41051242131834
55,1,404.0019302,404.15309587954,404.143109,0.00998687954006527,1200,1066.33412029086,1069.492973,-3.15885270914464
55,2,404.143109,404.292703061936,404.2810595,0.0116435619358981,1200,1066.46516066789,1069.787644,-3.32248333211464
55,3,404.2810595,404.429118716051,404.4172612,0.0118575160514638,1200,1066.59310857386,1069.976615,-3.38350642613636
55,4,404.4172612,404.563805837891,404.5521867,0.0116191378907615,1200,1066.71934118158,1070.117546,-3.39820481842094
55,5,404.5521867,404.697231746933,404.6860432,0.0111885469329422,1200,1066.84429939603,1070.230298,-3.38599860397449
55,6,404.6860432,404.829601321298,404.8189938,0.0106075212980272,1200,1066.96817730025,1070.324287,-3.35610969975346
55,7,404.8189938,404.961075833512,404.9511239,0.00995193351178614,1200,1067.09112764354,1070.404939,-3.31381135646438
55,8,404.9511239,405.09173972192,405.0824797,0.00926002192039732,1200,1067.21323095649,1070.475625,-3.26239404350576
55,9,405.0824797,405.22163866152,405.2131206,0.00851806151979417,1200,1067.33453135366,1070.538509,-3.20397764634004
55,10,405.2131206,405.350831382096,405.3430486,0.00778278209617156,1200,1067.45508500196,1070.595246,-3.14016099803985
55,11,405.3430486,405.479319850603,405.472273,0.00704685060304655,1200,1067.57489499939,1070.646915,-3.07202000060806
55,12,405.472273,405.607113253225,405.6008345,0.00627875322527416,1200,1067.6939711626,1070.694496,-3.00052483740365
55,13,405.6008345,405.734251828916,405.7287406,0.00551122891573641,1200,1067.81235218661,1070.738597,-2.92624481339476
55,14,405.7287406,405.860742984732,405.8559861,0.00475688473170521,1200,1067.93004612129,1070.779845,-2.84979887870827
55,15,405.8559861,405.986581568284,405.9826164,0.00396516828442373,1200,1068.0470493234,1070.818474,-2.77142467660042
55,16,405.9826164,406.111812468025,406.1086052,0.00320726802527815,1200,1068.16340464092,1070.855002,-2.69159735907942
55,17,406.1086052,406.236409665185,406.2339778,0.00243186518486027,1200,1068.27908899181,1070.889778,-2.61068900819146
55,18,406.2339778,406.36039817089,406.3587231,0.00167507089042829,1200,1068.39412669177,1070.922808,-2.52868130822935
56,1,403.9979072,403.581043329924,403.6767606,-0.0957172700757383,1200,1078.56928120772,1075.058967,3.5103142077246
56,2,403.6767606,403.26380449879,403.3577938,-0.0939893012103425,1200,1078.28373328894,1075.261232,3.02250128893502
56,3,403.3577938,402.948723848411,403.0416454,-0.0929215515894839,1200,1077.99955673126,1075.38707,2.61248673126056
56,4,403.0416454,402.636432072606,402.7282698,-0.0918377273943634,1200,1077.7173349826,1075.477529,2.23980598260027
56,5,402.7282698,402.326883988889,402.4175532,-0.0906692111111056,1200,1077.43704333927,1075.545202,1.8918413392671
56,6,402.4175532,402.019967052819,402.1094372,-0.0894701471806343,1200,1077.15859551415,1075.595748,1.56284751415183
