Cycle,Time,T_parison,T_mold,T_gob,t_contact,t_cooling,Error,Reward
226,3032.72,991.9931263,378.9609461,1123,3.866920045,4.392008755,0.303810125,-0.303810125
227,3046.08,991.9931743,378.9609904,1123,3.866920045,4.392008755,0.303762145,-0.303762145
228,3059.44,991.9932194,378.961032,1123,3.866920045,4.392008755,0.303717073,-0.303717073
229,3072.8,991.9932617,378.961071,1123,3.866920045,4.392008755,0.303674732,-0.303674732
230,3086.16,991.9933015,378.9611078,1123,3.866920045,4.392008755,0.303634957,-0.303634957
231,3099.52,991.9933388,378.9611422,1123,3.866920045,4.392008755,0.303597592,-0.303597592
232,3112.88,991.9933739,378.9611746,1123,3.866920045,4.392008755,0.303562492,-0.303562492
233,3126.24,991.9934069,378.9612051,1123,3.866920045,4.392008755,0.303529519,-0.303529519
234,3139.6,991.9934379,378.9612336,1123,3.866920045,4.392008755,0.303498544,-0.303498544
235,3152.96,991.993467,378.9612605,1123,3.866920045,4.392008755,0.303469446,-0.303469446
236,3166.32,991.9934943,378.9612857,1123,3.866920045,4.392008755,0.303442111,-0.303442111
237,3179.68,991.99352,378.9613094,1123,3.866920045,4.392008755,0.303416433,-0.303416433
238,3193.04,991.9935441,378.9613317,1123,3.866920045,4.392008755,0.303392311,-0.303392311
239,3206.4,991.9935668,378.9613526,1123,3.866920045,4.392008755,0.303369651,-0.303369651
240,3219.76,991.9935881,378.9613722,1123,3.866920045,4.392008755,0.303348364,-0.303348364
241,3233.12,991.9936081,378.9613907,1123,3.866920045,4.392008755,0.303328367,-0.303328367
242,3246.48,991.9936268,378.961408,1123,3.866920045,4.392008755,0.303309582,-0.303309582
243,3259.84,991.9936445,378.9614243,1123,3.866920045,4.392008755,0.303291935,-0.303291935
244,3273.2,991.9936611,378.9614396,1123,3.866920045,4.392008755,0.303275358,-0.303275358
245,3286.56,991.9936766,378.961454,1123,3.866920045,4.392008755,0.303259785,-0.303259785
246,3299.92,991.9936913,378.9614675,1123,3.866920045,4.392008755,0.303245156,-0.303245156
247,3313.28,991.993705,378.9614802,1123,3.866920045,4.392008755,0.303231414,-0.303231414
248,3326.64,991.9937179,378.9614921,1123,3.866920045,4.392008755,0.303218504,-0.303218504
249,3340,991.9937301,378.9615033,1123,3.866920045,4.392008755,0.303206377,-0.303206377
250,3353.36,991.9937414,378.9615138,1123,3.866920045,4.392008755,0.303194984,-0.303194984
251,3366.72,991.9937521,378.9615237,1123,3.866920045,4.392008755,0.303184282,-0.303184282
252,3380.08,991.9937622,378.9615329,1123,3.866920045,4.392008755,0.303174229,-0.303174229
253,3393.44,991.9937716,378.9615417,1123,3.866920045,4.392008755,0.303164784,-0.303164784
254,3406.8,991.9937805,378.9615498,1123,3.866920045,4.392008755,0.303155912,-0.303155912
255,3420.16,991.9937889,378.9615575,1123,3.866920045,4.392008755,0.303147578,-0.303147578
256,3433.52,991.9937967,378.9615648,1123,3.866920045,4.392008755,0.303139749,-0.303139749
257,3446.88,991.993804,378.9615715,1123,3.866920045,4.392008755,0.303132394,-0.303132394
258,3460.24,991.9938109,378.9615779,1123,3.866920045,4.392008755,0.303125485,-0.303125485
259,3473.6,991.9938174,378.9615839,1123,3.866920045,4.392008755,0.303118995,-0.303118995
260,3486.96,991.9938235,378.9615895,1123,3.866920045,4.392008755,0.303112898,-0.303112898
261,3500.32,991.9938293,378.9615948,1123,3.866920045,4.392008755,0.30310717,-0.30310717
262,3513.68,991.9938346,378.9615998,1123,3.866920045,4.392008755,0.303101789,-0.303101789
263,3527.04,991.9938397,378.9616045,1123,3.866920045,4.392008755,0.303096735,-0.303096735
264,3540.4,991.9938444,378.9616088,1123,3.866920045,4.392008755,0.303091987,-0.303091987
265,3553.76,991.9938489,378.9616129,1123,3.866920045,4.392008755,0.303087527,-0.303087527
266,3567.12,991.9938531,378.9616168,1123,3.866920045,4.392008755,0.303083336,-0.303083336
267,3580.48,991.993857,378.9616204,1123,3.866920045,4.392008755,0.3030794,-0.3030794
