Variation,Cycle,Time (s),T_gob (Parison Temperature),T_mold (Mold Temperature),t_contact (°),t_cooling (°)
+10% Contact,75,1002.0000000000008,967.192696646496,378.6788064074954,116.60000000000002,120.0
+10% Contact,76,1015.3600000000008,967.1945858079106,378.6804181277139,116.60000000000002,120.0
+10% Contact,77,1028.7200000000007,967.1963526325425,378.68192556861084,116.60000000000002,120.0
+10% Contact,78,1042.0800000000006,967.1980050533454,378.68333548078175,116.60000000000002,120.0
+10% Contact,79,1055.4400000000005,967.19955048751,378.68465417735956,116.60000000000002,120.0
+10% Contact,80,1068.8000000000004,967.2009958701855,378.6858875624192,116.60000000000002,120.0
+10% Contact,81,1082.1600000000003,967.2023476859155,378.68704115753445,116.60000000000002,120.0
+10% Contact,82,1095.5200000000002,967.2036119980643,378.68812012660254,116.60000000000002,120.0
+10% Contact,83,1108.88,967.2047944762732,378.6891292990514,116.60000000000002,120.0
+10% Contact,84,1122.24,967.2059004221583,378.6900731915382,116.60000000000002,120.0
+10% Contact,85,1135.6,967.2069347932569,378.6909560282348,116.60000000000002,120.0
+10% Contact,86,1148.9599999999998,967.2079022254404,378.69178175979266,116.60000000000002,120.0
+10% Contact,87,1162.3199999999997,967.2088070538435,378.69255408107813,116.60000000000002,120.0
+10% Contact,88,1175.6799999999996,967.2096533324822,378.6932764477506,116.60000000000002,120.0
+10% Contact,89,1189.0399999999995,967.2104448524184,378.69395209176906,116.60000000000002,120.0
+10% Contact,90,1202.3999999999994,967.2111851590338,378.6945840358862,116.60000000000002,120.0
+10% Contact,91,1215.7599999999993,967.2118775678263,378.69517510720306,116.60000000000002,120.0
+10% Contact,92,1229.1199999999992,967.212525179432,378.69572794984555,116.60000000000002,120.0
+10% Contact,93,1242.479999999999,967.2131308935535,378.6962450368173,116.60000000000002,120.0
+10% Contact,94,1255.839999999999,967.2136974220532,378.6967286810813,116.60000000000002,120.0
+10% Contact,95,1269.199999999999,967.2142273010286,378.69718104592783,116.60000000000002,120.0
+10% Contact,96,1282.5599999999988,967.2147229024066,378.6976041546625,116.60000000000002,120.0
+10% Contact,97,1295.9199999999987,967.2151864444266,378.69799989967333,116.60000000000002,120.0
+10% Contact,98,1309.2799999999986,967.2156200016384,378.6983700509072,116.60000000000002,120.0
+10% Contact,99,1322.6399999999985,967.2160255143086,378.69871626379455,116.60000000000002,120.0
+10% Contact,100,1335.9999999999984,967.2164047970872,378.6990400866619,116.60000000000002,120.0
-10% Contact,1,13.36,975.5817349135762,374.43755978831314,95.4,120.0
-10% Contact,2,26.72,975.1312334336653,374.16885909817324,95.4,120.0
-10% Contact,3,40.08,974.7078546107884,373.9229374393431,95.4,120.0
-10% Contact,4,53.44,974.311396513572,373.69823832571853,95.4,120.0
-10% Contact,5,66.8,973.9414603789851,373.49325141124,95.4,120.0
-10% Contact,6,80.16,973.5974519907758,373.3065197777487,95.4,120.0
-10% Contact,7,93.52,973.278595411202,373.13664651924194,95.4,120.0
-10% Contact,8,106.88,972.9839557606944,372.9823002539526,95.4,120.0
-10% Contact,9,120.24,972.7124676506161,372.8422193453959,95.4,120.0
-10% Contact,10,133.6,972.462966175492,372.7152147478767,95.4,120.0
-10% Contact,11,146.95999999999998,972.2342179175002,372.60017150083,95.4,120.0
-10% Contact,12,160.32,972.0249500680063,372.4960489757551,95.4,120.0
-10% Contact,13,173.68,971.8338764175793,372.4018800302022,95.4,120.0
-10% Contact,14,187.04000000000002,971.6597195338891,372.31676924905616,95.4,120.0
-10% Contact,15,200.40000000000003,971.5012288981422,372.2398904597021,95.4,120.0
-10% Contact,16,213.76000000000005,971.3571950987383,372.17048370001964,95.4,120.0
-10% Contact,17,227.12000000000006,971.226460394481,372.1078518017073,95.4,120.0
-10% Contact,18,240.48000000000008,971.1079260804797,372.0513567301919,95.4,120.0
-10% Contact,19,253.8400000000001,971.0005571385551,372.00041579948913,95.4,120.0
-10% Contact,20,267.2000000000001,970.9033846546733,371.9544978579045,95.4,120.0
-10% Contact,21,280.5600000000001,970.8155064542208,371.9131195197395,95.4,120.0
-10% Contact,22,293.92000000000013,970.7360863578607,371.8758414998506,95.4,120.0
-10% Contact,23,307.28000000000014,970.6643524043676,371.8422650923234,95.4,120.0
-10% Contact,24,320.64000000000016,970.5995943306806,371.8120288215696,95.4,120.0
-10% Contact,25,334.00000000000017,970.5411605462469,371.784805283698,95.4,120.0
-10% Contact,26,347.3600000000002,970.4884547906438,371.7602981877555,95.4,120.0
-10% Contact,27,360.7200000000002,970.4409326228918,371.73823960004114,95.4,120.0
-10% Contact,28,374.0800000000002,970.3980978555277,371.71838738991937,95.4,120.0
-10% Contact,29,387.4400000000002,970.3594990184328,371.7005228720195,95.4,120.0
-10% Contact,30,400.80000000000024,970.3247259139981,371.68444863724744,95.4,120.0
-10% Contact,31,414.16000000000025,970.2934063067293,371.6699865633772,95.4,120.0
-10% Contact,32,427.52000000000027,970.2652027763845,371.65697599495275,95.4,120.0
-10% Contact,33,440.8800000000003,970.2398097515701,371.64527208172177,95.4,120.0
