Variation,Cycle,Time (s),T_gob (Parison Temperature),T_mold (Mold Temperature),t_contact (°),t_cooling (°)
Nominal,100,1335.9999999999984,968.793964893534,374.72494509534005,106.0,120.0
+10% Cooling,1,13.36,971.1557405013466,374.084976477015,106.0,132.0
+10% Cooling,2,26.72,970.3237760384284,373.487346198943,106.0,132.0
+10% Cooling,3,40.08,969.5207687887494,372.93553673166656,106.0,132.0
+10% Cooling,4,53.44,968.747797393071,372.4273430878938,106.0,132.0
+10% Cooling,5,66.8,968.0064851691682,371.96053931420244,106.0,132.0
+10% Cooling,6,80.16,967.2987635056728,371.5328657758938,106.0,132.0
+10% Cooling,7,93.52,966.6266156941886,371.14202744178624,106.0,132.0
+10% Cooling,8,106.88,965.9918320097056,370.7857024939071,106.0,132.0
+10% Cooling,9,120.24,965.3958048246772,370.461559381612,106.0,132.0
+10% Cooling,10,133.6,964.8393847595173,370.1672795871873,106.0,132.0
+10% Cooling,11,146.95999999999998,964.3228073215247,369.9005830233894,106.0,132.0
+10% Cooling,12,160.32,963.8456873783618,369.6592531558632,106.0,132.0
+10% Cooling,13,173.68,963.4070692252161,369.4411595176258,106.0,132.0
+10% Cooling,14,187.04000000000002,963.0055147343808,369.2442760679702,106.0,132.0
+10% Cooling,15,200.40000000000003,962.6392112645444,369.06669465138765,106.0,132.0
+10% Cooling,16,213.76000000000005,962.3060835438795,368.9066334916825,106.0,132.0
+10% Cooling,17,227.12000000000006,962.0038980204844,368.76244114151956,106.0,132.0
+10% Cooling,18,240.48000000000008,961.7303527476786,368.6325965899099,106.0,132.0
+10% Cooling,19,253.8400000000001,961.4831497924389,368.51570634151466,106.0,132.0
+10% Cooling,20,267.2000000000001,961.2600500093595,368.41049927071373,106.0,132.0
+10% Cooling,21,280.5600000000001,961.0589117893941,368.3158199685394,106.0,132.0
+10% Cooling,22,293.92000000000013,960.8777162674407,368.2306211809073,106.0,132.0
+10% Cooling,23,307.28000000000014,960.7145817164987,368.15395580935706,106.0,132.0
+10% Cooling,24,320.64000000000016,960.5677697158122,368.08496882699035,106.0,132.0
+10% Cooling,25,334.00000000000017,960.4356853418154,368.022889360594,106.0,132.0
+10% Cooling,26,347.3600000000002,960.3168732233142,367.9670231075454,106.0,132.0
+10% Cooling,27,360.7200000000002,960.2100109025967,367.9167451922416,106.0,132.0
+10% Cooling,28,374.0800000000002,960.1139005876013,367.8714935192821,106.0,132.0
+10% Cooling,29,387.4400000000002,960.0274600862011,367.8307626464347,106.0,132.0
+10% Cooling,30,400.80000000000024,959.9497134793335,367.79409817675696,106.0,132.0
+10% Cooling,31,414.16000000000025,959.8797819100681,367.7610916536156,106.0,132.0
+10% Cooling,32,427.52000000000027,959.81687473274,367.7313759325722,106.0,132.0
+10% Cooling,33,440.8800000000003,959.7602811691343,367.7046209986038,106.0,132.0
+10% Cooling,34,454.2400000000003,959.709362550599,367.68053019457864,106.0,132.0
+10% Cooling,35,467.6000000000003,959.6635451775712,367.65883682637974,106.0,132.0
+10% Cooling,36,480.9600000000003,959.6223137966115,367.63930111083687,106.0,132.0
