alfa1_1,alfa1_2,alfa1_3,alfa1_4,alfa2_1,alfa2_2,alfa2_3,alfa2_4,beta1_1,beta1_2,beta1_3,beta1_4,beta2_1,beta2_2,beta2_3,beta2_4,k_settle_1,k_settle_2,k_settle_3,k_settle_4,k_counter_1,k_counter_2,k_counter_3,k_counter_4
38362.530532901175,-172.30869007814908,0.26130851621798357,-0.00013212365381864467,-403172.08218532801,1836.5110040222498,-2.7850413232431279,0.0014088106562443296,36777.801959447563,-177.41346183252972,0.28920903841034118,-0.0001571827701548692,-333946.245651762,1636.1575068067759,-2.6686666228378044,0.001451781963613355,3685823.7543907985,-27763.38820226799,63.29533664016634,-0.059425504822254394,690355.44754676893,-16800.195266703377,78.092238410566779,-0.16064063278262752
37991.554157527164,-171.11905356209172,0.26026773758642818,-0.00013198494969140877,-398998.79267408047,1822.9261669062034,-2.772647741541391,0.0014067128209312683,36539.848828759044,-176.7762697845501,0.28903746500550653,-0.00015756251739943924,-331711.34250426199,1630.1162538721401,-2.6668120039946075,0.0014551415109029103,3602512.8693104275,-27090.55292116254,61.470749244845649,-0.057796418025801932,687636.09773626737,-16771.666125246091,78.029846577730268,-0.16074872683322861
37243.62121350877,-168.12518661454669,0.25635810761609079,-0.00013033072002745401,-390077.50059875101,1786.7398307288422,-2.7245018152722551,0.0013858146189307807,36336.420172241516,-176.22298453130497,0.28886679800576331,-0.00015787083903533866,-329846.478247419,1625.0928525969721,-2.6653588073520851,0.0014580521406359209,3669752.4266409166,-27692.972404144355,63.226327858241405,-0.059483386969325258,686022.57992493734,-16760.424458400725,78.050975608302679,-0.16099092539949877
37063.551793110091,-167.75665745865263,0.25649790847973364,-0.000130759895894908,-389853.05011677369,1790.4575854044415,-2.7374144940653125,0.0013960749187015703,36089.533701111563,-175.54779552998298,0.28865255656417332,-0.00015824335898578443,-327613.52451680321,1619.1090567750653,-2.6637672244029318,0.0014616972278749876,3679629.7208263166,-27822.604146538186,63.692849612058467,-0.060012645864468916,683423.48720272817,-16735.191846039059,78.010011801338578,-0.16115156934262043
36881.872990064323,-167.31712933952804,0.2564338490366147,-0.00013103799477887264,-389147.4147522049,1791.4200943129981,-2.7453038346391025,0.0014033739054055798,35890.988541899249,-175.02293976487272,0.28854430050498081,-0.00015859912861859032,-325766.61883563176,1614.2099084567453,-2.6626547556818494,0.0014649122287297908,3652359.7571386024,-27623.051955115166,63.198664849489091,-0.05961753575402623,681525.99044989794,-16717.296695520228,77.990131141688153,-0.16130510376152341
52043.398942300119,-232.61763880198851,0.34987849946651295,-0.00017546591453891647,-531401.59229541942,2401.5958604791158,-3.614777435391531,0.0018147412880246128,34303.351404192857,-163.70325018185031,0.26425209423207008,-0.00014222330179486375,-311300.89239509683,1510.5054745050729,-2.4397965419501944,0.0013144806183795731,3462740.5724542141,-25349.426686335239,55.177435491478718,-0.050735256584565569,670992.71271666139,-16010.082938871288,70.930937956159369,-0.14115478366681855
51760.156435080804,-232.00181918528688,0.34995667878303038,-0.00017601066591592732,-529101.09499591216,2398.0691585540626,-3.6198167429037085,0.0018224825987725249,34078.049856193364,-163.09656569947037,0.26406318026113951,-0.00014254861354486351,-309286.24564310908,1505.2423283729804,-2.4385760824045732,0.0013177609863016908,3458881.9105474241,-25354.153855239507,55.260610602762767,-0.05087667652991823,668050.62530896626,-15983.296736929507,70.88757053229233,-0.14130654700116363
51201.199330451898,-230.04329231793963,0.34787030956007925,-0.00017539954162899829,-522218.86415876448,2372.9486292343863,-3.5910384716119239,0.0018126189028125836,33889.002500041388,-162.58497413201621,0.26390004279973311,-0.00014282076821721043,-307601.21572017297,1500.8315836123584,-2.4375600223406479,0.0013205354538373161,3364656.349599462,-24594.623298922234,53.212244470792939,-0.049053173015249918,667130.83049735427,-15977.834615470434,70.918658652543854,-0.1415044237738734
50223.922150446102,-226.26471415386186,0.34315578495469623,-0.00017352923001194565,-511573.75155932829,2331.3880230124123,-3.5384140023844708,0.0017912798242788672,33660.572311585769,-161.96646477493778,0.26370643605817889,-0.00014315621889835276,-305535.63832049537,1495.359959856105,-2.4361469590996521,0.0013238349562551925,3471723.0241339281,-25522.917095582234,55.847840025911069,-0.051522751999589,664428.4377488438,-15952.753154347622,70.879238451655965,-0.141650070184689
50159.088055458851,-226.48333143166019,0.34427236932446448,-0.000174491747761997,-513771.88103022054,2346.5297788214302,-3.569189867295492,0.0018108049292329884,33477.913520635106,-161.49071451009149,0.26361692555642691,-0.00014348076222946149,-303790.14223511983,1490.7030384774916,-2.4348803286041019,0.0013265930057226108,3440558.3054103218,-25297.886865267414,55.296553093566217,-0.051086053635084228,662774.87392748706,-15943.105115500191,70.911947546958572,-0.14190476459657497
